"","target.priority","altitude..hundreds.of.feet."
"112709","1",55
"112710","1",55
"112711","1",55
"112712","1",50
"112713","1",50
"112714","1",50
"112715","1",50
"112716","1",50
"112717","1",50
"112718","1",50
"112719","1",50
"112720","1",50
"112721","1",45
"112722","1",45
"112723","1",40
"112724","1",40
"112725","1",40
"112726","1",40
"112727","1",40
"112728","1",40
"112729","1",40
"112730","1",40
"112731","1",40
"112732","1",40
"112733","1",40
"112734","1",40
"112735","1",25
"112736","1",25
"112737","1",15
"112738","1",15
"112739","1",11
"112740","1",11
"112841","3",139
"112843","1",139
"112844","1",139
"112845","3",139
"112846","1",139
"112847","1",139
"112848","3",139
"112849","1",139
"112852","1",139
"112853","3",139
"112854","1",139
"112855","1",139
"112856","3",139
"112857","4",139
"112858","4",139
"112859","4",139
"112860","1",125
"112861","1",125
"112862","1",100
"112863","1",100
"112864","1",100
"112865","1",100
"112866","1",100
"112867","1",100
"112868","1",100
"112869","1",100
"112870","1",93
"112871","1",93
"112872","1",90
"112873","1",90
"112874","1",90
"112875","1",90
"112876","3",90
"112877","3",90
"112878","1",88
"112879","1",88
"112880","1",88
"112881","1",88
"112882","1",139
"112883","1",139
"112884","1",139
"112885","1",139
"112886","1",139
"112887","1",139
"112888","1",139
"112889","1",139
"112890","1",108
"112891","1",108
"112892","1",108
"112893","1",105
"112894","1",105
"112895","1",105
"112896","1",105
"112897","1",105
"112898","1",100
"112899","1",100
"112900","1",100
"112901","1",100
"112902","1",100
"112903","1",100
"112904","1",93
"112905","1",93
"112906","1",92
"112907","1",92
"112908","1",90
"112909","1",90
"112910","1",90
"112911","1",90
"112912","2",90
"112913","2",90
"112914","1",87
"112915","1",87
"112916","1",84
"112917","1",84
"112918","1",10
"112919","1",139
"112920","1",139
"112921","1",139
"112922","1",139
"112924","1",40
"112925","1",1
"112926","1",122
"112927","1",2
"112928","1",1
"112929","1",1
"112930","1",115
"112931","1",139
"112932","2",1
"112933","1",1
"112934","1",1
"112935","1",1
"112936","1",10
"112937","1",10
"112938","1",139
"112939","1",120
"112940","1",40
"112941","1",140
"112942","1",100
"112943","1",95
"112944","1",90
"112945","1",90
"112946","2",1
"112947","1",1
"112948","1",1
"112949","1",1
"112950","1",16
"112951","1",2
"112952","1",1
"112953","1",1
"112954","1",1
"112955","1",1
"112956","1",1
"112957","1",1
"112958","1",1
"112959","3",200
"112960","1",195
"112961","1",139
"112962","1",60
"112963","1",1
"112964","1",73
"112965","1",30
"112966","1",81
"112967","1",1
"112968","1",78
"112969","1",140
"112970","1",60
"112971","1",139
"112972","1",80
"112973","1",50
"112974","1",11
"112975","1",55
"112976","1",90
"112977","1",15
"112978","1",130
"112979","1",90
"112980","2",139
"112981","1",200
"112982","1",90
"112983","1",40
"112984","1",1
"112985","1",1
"112986","2",139
"112987","1",40
"112988","1",20
"112989","2",20
"112990","1",15
"112991","1",15
"112992","1",15
"112993","1",15
"112994","1",15
"112995","1",15
"112996","1",15
"112997","1",15
"112998","1",15
"112999","1",15
"113000","1",15
"113001","1",15
"113002","1",1
"113003","1",15
"113004","1",139
"113005","1",139
"113006","2",15
"113007","1",15
"113008","1",10
"113009","1",139
"113010","1",139
"113011","1",139
"113012","1",139
"113014","1",139
"113032","1",95
"113033","1",95
"113034","1",80
"113035","1",80
"113036","2",120
"113037","2",120
"113038","1",100
"113039","1",100
"113040","1",115
"113041","1",10
"113042","1",10
"113043","1",8
"113044","1",8
"113045","1",7
"113046","1",7
"113047","1",7
"113048","1",5
"113049","1",5
"113050","1",5
"113051","1",5
"113052","1",5
"113053","1",4
"113054","1",139
"113055","1",139
"113056","1",139
"113057","1",139
"113058","1",139
"113059","1",139
"113060","1",1
"113061","1",1
"113062","1",1
"113063","1",1
"113064","1",1
"113065","1",1
"113066","1",1
"113067","1",1
"113068","1",1
"113069","1",1
"113070","1",1
"113071","1",1
"113072","1",1
"113073","1",45
"113074","1",1
"113075","1",110
"113076","1",40
"113077","1",20
"113078","1",20
"113079","1",20
"113080","1",15
"113081","1",15
"113082","1",15
"113083","1",84
"113084","1",60
"113085","1",139
"113086","1",25
"113087","3",15
"113088","2",15
"113089","1",103
"113090","1",160
"113091","1",100
"113092","1",158
"113093","1",120
"113094","1",3
"113095","1",150
"113096","1",89
"113097","1",1
"113098","1",1
"113099","1",1
"113100","1",1
"113102","1",100
"113103","1",115
"113104","1",110
"113105","1",110
"113106","1",120
"113107","3",162
"113108","1",132
"113109","1",1
"113110","1",55
"113111","1",125
"113112","1",130
"113113","1",130
"113114","1",2
"113115","1",2
"113116","1",120
"113117","1",110
"113118","1",10
"113119","1",2
"113120","1",1
"113121","1",1
"113122","1",1
"113123","1",1
"113124","1",1
"113125","1",1
"113126","1",1
"113127","1",1
"113128","3",171
"113129","3",142
"113130","1",140
"113131","1",20
"113132","1",20
"113133","1",1
"113134","1",110
"113135","1",105
"113136","1",95
"113137","1",1
"113138","1",1
"113139","1",1
"113140","1",2
"113242","1",115
"113243","1",103
"113244","1",139
"113245","1",95
"113246","2",120
"113247","1",95
"113248","1",89
"113249","2",139
"113251","2",125
"113253","2",139
"113254","1",140
"113255","1",120
"113256","1",1
"113257","1",1
"113258","1",85
"113259","1",25
"113260","1",3
"113261","1",20
"113262","1",60
"113263","1",1
"113264","1",120
"113265","1",120
"113266","1",120
"113267","1",80
"113268","1",1
"113269","1",1
"113270","1",180
"113271","1",125
"113272","1",110
"113273","1",80
"113274","1",110
"113275","2",100
"113276","1",80
"113277","1",180
"113278","1",90
"113279","1",25
"113280","1",25
"113281","3",25
"113282","1",25
"113283","1",139
"113284","1",139
"113285","1",15
"113286","1",15
"113287","1",139
"113288","1",110
"113289","1",100
"113290","1",100
"113291","1",75
"113292","1",100
"113293","1",93
"113295","1",20
"113296","1",20
"113297","1",139
"113298","1",80
"113299","1",77
"113300","1",5
"113301","1",100
"113302","1",83
"113303","1",15
"113304","1",15
"113305","1",15
"113306","1",15
"113307","1",40
"113308","1",1
"113309","1",1
"113310","1",30
"113311","1",139
"113312","1",25
"113313","1",25
"113314","1",25
"113315","1",139
"113316","1",139
"113317","1",139
"113318","1",15
"113319","1",139
"113320","1",90
"113321","2",139
"113322","1",10
"113323","1",139
"113324","1",139
"113325","1",139
"113326","1",25
"113327","1",139
"113328","1",139
"113329","1",139
"113330","1",139
"113331","1",139
"113332","1",139
"113333","1",227
"113334","1",227
"113335","1",139
"113336","1",139
"113337","1",139
"113338","1",139
"113340","1",95
"113341","1",115
"113342","1",95
"113343","1",95
"113344","1",95
"113345","1",95
"113346","1",155
"113347","1",22
"113348","2",100
"113349","1",100
"113350","1",99
"113351","1",94
"113352","1",80
"113353","1",1
"113354","1",1
"113355","1",160
"113356","1",98
"113357","1",170
"113358","1",95
"113359","1",47
"113360","1",85
"113361","1",45
"113362","1",135
"113363","1",125
"113364","1",115
"113365","1",51
"113366","1",1
"113367","3",80
"113368","1",10
"113369","1",80
"113370","3",2
"113371","3",85
"113372","1",80
"113373","1",75
"113374","1",1
"113375","1",139
"113376","3",160
"113377","1",90
"113378","1",40
"113379","1",20
"113380","1",2
"113381","1",139
"113382","1",20
"113383","1",20
"113384","1",20
"113385","1",15
"113386","1",15
"113387","1",15
"113388","1",15
"113389","1",15
"113390","1",15
"113391","1",15
"113392","1",15
"113393","1",15
"113394","1",12
"113395","1",10
"113396","1",10
"113397","1",1
"113398","1",1
"113399","1",139
"113400","1",15
"113401","1",12
"113402","1",139
"113403","1",139
"113404","1",139
"113405","2",10
"113407","2",311
"113408","1",296
"113409","1",283
"113410","1",283
"113411","2",282
"113412","3",274
"113413","3",268
"113414","3",268
"113415","3",268
"113416","1",245
"113417","1",288
"113418","1",288
"113419","1",265
"113420","1",265
"113421","1",255
"113422","1",253
"113423","1",253
"113424","2",250
"113425","2",250
"113426","1",247
"113427","1",247
"113428","1",235
"113429","1",235
"113430","1",235
"113431","1",235
"113432","1",230
"113433","1",230
"113434","1",230
"113435","1",230
"113436","1",222
"113437","1",222
"113438","2",220
"113439","2",220
"113440","2",215
"113441","1",139
"113442","1",139
"113443","1",139
"113444","1",130
"113445","1",40
"113446","1",1
"113448","1",3
"113449","1",80
"113450","1",110
"113451","2",110
"113452","2",105
"113453","1",30
"113454","2",100
"113455","1",100
"113456","1",95
"113457","2",12
"113458","2",50
"113459","1",2
"113460","1",5
"113461","1",5
"113462","1",1
"113463","1",2
"113464","1",139
"113465","1",139
"113466","1",139
"113467","2",52
"113468","1",30
"113470","1",2
"113471","1",2
"113472","1",1
"113473","1",139
"113474","1",139
"113475","2",5
"113476","1",115
"113477","2",198
"113478","1",188
"113479","2",264
"113480","2",185
"113481","3",120
"113499","1",185
"113500","1",85
"113501","1",85
"113502","1",139
"113503","1",139
"113504","1",1
"113505","1",1
"113506","1",1
"113507","1",1
"113508","1",1
"113509","1",1
"113510","1",1
"113511","1",1
"113512","1",1
"113513","1",1
"113514","1",1
"113515","1",1
"113516","1",1
"113517","2",1
"113518","1",1
"113519","1",1
"113520","1",1
"113521","1",1
"113522","1",1
"113523","1",125
"113524","1",120
"113525","1",110
"113526","1",105
"113527","1",20
"113528","1",15
"113529","1",15
"113530","1",85
"113531","1",84
"113532","1",139
"113533","1",30
"113534","1",158
"113535","1",115
"113536","1",162
"113537","1",110
"113538","1",150
"113539","1",120
"113540","1",73
"113643","1",220
"113644","1",220
"113645","1",220
"113646","1",220
"113647","1",195
"113648","1",195
"113658","3",139
"113659","3",139
"113660","3",139
"113661","4",139
"113662","4",139
"113663","4",139
"113664","1",260
"113665","1",260
"113666","1",260
"113667","3",258
"113668","3",258
"113669","1",250
"113670","1",250
"113671","1",250
"113672","3",250
"113673","3",250
"113674","3",248
"113675","3",248
"113676","1",245
"113677","1",245
"113678","1",245
"113679","3",242
"113680","1",240
"113681","1",240
"113682","1",240
"113683","1",240
"113684","1",240
"113685","1",240
"113686","3",230
"113687","3",230
"113688","3",230
"113689","3",230
"113690","3",230
"113691","3",230
"113692","1",230
"113693","1",230
"113694","1",230
"113695","3",225
"113696","3",225
"113697","4",139
"113698","4",139
"113699","4",139
"113700","4",139
"113701","4",139
"113702","4",139
"113703","1",139
"113704","1",139
"113705","1",139
"113706","1",139
"113707","1",139
"113708","1",139
"113709","1",139
"113710","1",139
"113711","1",139
"113712","3",139
"113713","3",139
"113714","3",139
"113715","3",139
"113716","3",139
"113717","3",139
"113718","3",139
"113719","3",139
"113720","3",139
"113721","3",139
"113722","3",139
"113723","3",139
"113724","3",139
"113725","3",139
"113726","4",139
"113727","3",139
"113728","4",139
"113729","3",269
"113730","3",269
"113731","3",269
"113732","1",250
"113733","1",250
"113734","1",250
"113735","1",250
"113736","1",247
"113737","1",247
"113738","1",247
"113739","2",240
"113740","2",240
"113741","2",215
"113742","1",214
"113743","1",214
"113744","1",139
"113745","1",139
"113746","1",139
"113747","1",139
"113748","1",139
"113749","1",139
"113750","1",139
"113751","1",139
"113752","1",139
"113753","1",139
"113754","1",139
"113755","1",139
"113756","1",139
"113757","1",139
"113758","1",139
"113759","1",139
"113760","1",139
"113761","1",139
"113762","3",139
"113763","3",139
"113764","3",139
"113765","3",139
"113766","3",139
"113767","3",139
"113768","3",139
"113769","3",139
"113770","3",139
"113771","3",139
"113772","3",139
"113773","3",139
"113774","2",139
"113775","2",139
"113776","2",139
"113777","2",139
"113778","2",139
"113779","2",139
"113781","2",272
"113788","4",245
"113789","3",240
"113790","3",240
"113791","1",230
"113792","1",228
"113793","1",225
"113794","1",225
"113795","1",220
"113796","1",22
"113797","1",139
"113798","1",139
"113799","1",139
"113800","1",139
"113801","1",139
"113802","1",139
"113803","1",139
"113804","1",139
"113807","3",285
"113808","3",285
"113815","3",139
"113816","1",297
"113817","1",287
"113818","1",283
"113819","1",277
"113820","1",261
"113821","1",260
"113822","1",260
"113823","1",255
"113824","1",253
"113825","1",248
"113826","3",245
"113827","1",234
"113828","1",234
"113829","1",217
"113830","1",217
"113833","3",139
"113834","3",139
"113835","3",139
"113836","3",139
"113837","3",139
"113839","3",139
"113840","3",139
"113841","1",28
"113842","1",1
"113843","1",1
"113844","1",1
"113845","1",1
"113846","1",1
"113847","1",1
"113848","1",1
"113849","1",105
"113850","1",93
"113852","1",105
"113853","1",93
"113854","1",139
"113855","1",3
"113856","1",1
"113857","1",1
"113858","1",1
"113859","1",1
"113860","2",1
"113861","3",114
"113862","1",1
"113863","1",30
"113864","1",10
"113865","1",1
"113866","1",139
"113867","1",40
"113868","1",4
"113869","1",1
"113870","1",1
"113871","1",55
"113872","1",20
"113873","1",40
"113874","3",170
"113875","3",168
"113876","1",20
"113877","1",80
"113878","1",15
"113879","1",15
"113880","1",70
"113881","1",15
"113882","1",15
"113883","1",1
"113884","1",139
"113885","1",20
"113886","1",139
"113887","1",143
"113888","1",100
"113889","4",84
"113890","1",20
"113891","1",20
"113892","1",20
"113893","1",2
"113894","1",1
"113895","1",1
"113896","1",139
"113897","2",10
"113898","1",4
"113899","2",139
"113900","1",3
"113901","1",1
"113903","1",139
"113904","3",125
"113905","1",106
"113906","1",53
"113907","1",120
"113908","1",12
"113909","1",12
"113910","1",83
"113911","1",1
"113912","1",1
"113913","1",1
"113914","1",1
"113915","1",1
"113916","1",1
"113917","1",1
"113918","1",1
"113919","1",1
"113920","1",1
"113921","1",1
"113922","1",1
"113923","1",1
"113924","1",1
"113925","1",1
"113926","1",1
"113927","1",1
"113928","1",1
"113929","1",1
"113930","1",98
"113931","1",32
"113932","1",31
"113933","1",20
"113934","1",1
"113935","1",1
"113936","1",171
"113937","1",120
"113938","1",120
"113939","1",105
"113940","1",105
"114041","2",240
"114042","1",235
"114043","1",235
"114044","1",235
"114045","2",235
"114046","2",235
"114047","2",235
"114048","3",230
"114049","3",230
"114050","3",230
"114051","1",229
"114052","1",229
"114053","4",221
"114054","4",221
"114055","1",220
"114056","1",220
"114057","1",220
"114058","1",220
"114059","1",220
"114060","4",220
"114061","1",220
"114062","1",220
"114063","1",220
"114064","4",220
"114067","1",210
"114068","1",210
"114069","1",210
"114070","1",210
"114071","4",200
"114072","4",200
"114073","4",200
"114074","4",200
"114075","4",200
"114076","1",198
"114077","1",198
"114078","1",193
"114079","1",190
"114080","1",190
"114081","1",176
"114082","1",170
"114130","1",139
"114131","1",139
"114132","2",139
"114133","1",139
"114134","1",139
"114135","2",139
"114136","1",139
"114137","1",139
"114138","2",139
"114139","2",139
"114140","2",139
"114141","3",139
"114142","3",139
"114143","3",139
"114144","3",139
"114145","3",139
"114146","3",139
"114147","3",139
"114148","3",139
"114149","3",139
"114150","3",139
"114151","3",139
"114152","3",139
"114153","3",139
"114154","3",139
"114155","3",139
"114156","3",139
"114157","3",139
"114158","3",139
"114159","3",139
"114160","3",139
"114161","3",139
"114162","3",139
"114163","3",139
"114164","3",139
"114165","3",139
"114166","3",139
"114167","3",139
"114168","3",139
"114169","3",139
"114170","3",139
"114171","3",139
"114172","3",139
"114173","3",139
"114174","3",139
"114175","3",139
"114176","3",139
"114177","1",112
"114178","1",112
"114179","2",110
"114180","2",110
"114181","2",105
"114182","2",105
"114183","1",100
"114184","1",100
"114185","1",100
"114186","1",100
"114187","1",95
"114188","1",95
"114189","1",95
"114190","1",70
"114191","1",70
"114192","1",35
"114193","1",35
"114194","1",25
"114195","1",25
"114196","1",1
"114197","1",1
"114198","1",139
"114199","1",139
"114200","2",139
"114201","2",139
"114202","1",139
"114203","1",139
"114204","1",139
"114205","1",139
"114206","1",139
"114207","1",139
"114208","1",107
"114209","1",107
